"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7471","File Handling - Multiple File Upload","","2026-09-25","failed","2026-09-25","","multiplefileupload.spec.js","",""
"","12475","HYR tutorials","","2026-09-25","passed","2026-09-25","","hyrtutorial.spec.js","",""
